Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,6,Incorrect,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,6,Incorrect,1
Test Problem B-01,6,Correct,6
Test Problem B-02,6,Incorrect,4
Test Problem B-03,6,Correct,6
Test Problem B-04,3,Incorrect,1
Test Problem B-05,6,Incorrect,1
Test Problem B-06,3,Incorrect,2
Test Problem B-07,2,Incorrect,1
Test Problem B-08,5,Correct,5
Test Problem B-09,5,Correct,5
Test Problem B-10,4,Incorrect,6
Test Problem B-11,3,Incorrect,4
Test Problem B-12,3,Correct,3
Challenge Problem B-01,6,Correct,6
Challenge Problem B-02,6,Incorrect,1
Challenge Problem B-03,6,Incorrect,3
Challenge Problem B-04,6,Incorrect,4
Challenge Problem B-05,6,Correct,6
Challenge Problem B-06,6,Incorrect,3
Challenge Problem B-07,6,Correct,6
Challenge Problem B-08,6,Incorrect,4
Challenge Problem B-09,6,Incorrect,4
Challenge Problem B-10,6,Incorrect,4
Challenge Problem B-11,6,Incorrect,5
Challenge Problem B-12,6,Incorrect,1
Raven's Problem B-01,6,Incorrect,2
Raven's Problem B-02,6,Correct,6
Raven's Problem B-03,6,Incorrect,1
Raven's Problem B-04,6,Incorrect,2
Raven's Problem B-05,6,Incorrect,1
Raven's Problem B-06,6,Incorrect,3
Raven's Problem B-07,6,Incorrect,5
Raven's Problem B-08,6,Correct,6
Raven's Problem B-09,6,Incorrect,4
Raven's Problem B-10,6,Incorrect,3
Raven's Problem B-11,6,Incorrect,4
Raven's Problem B-12,6,Incorrect,5
Basic Problem C-01,3,Correct,3
Basic Problem C-02,8,Incorrect,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,4,Incorrect,8
Basic Problem C-05,7,Incorrect,3
Basic Problem C-06,4,Incorrect,7
Basic Problem C-07,8,Incorrect,2
Basic Problem C-08,4,Incorrect,5
Basic Problem C-09,4,Incorrect,2
Basic Problem C-10,7,Correct,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,8,Correct,8
Test Problem C-01,7,Correct,7
Test Problem C-02,6,Incorrect,5
Test Problem C-03,6,Incorrect,1
Test Problem C-04,4,Incorrect,8
Test Problem C-05,7,Incorrect,6
Test Problem C-06,5,Correct,5
Test Problem C-07,-1,Error,8
Test Problem C-08,-1,Error,5
Test Problem C-09,6,Incorrect,2
Test Problem C-10,4,Incorrect,7
Test Problem C-11,1,Correct,1
Test Problem C-12,8,Incorrect,1
Challenge Problem C-01,4,Incorrect,7
Challenge Problem C-02,4,Incorrect,7
Challenge Problem C-03,4,Incorrect,3
Challenge Problem C-04,4,Incorrect,8
Challenge Problem C-05,4,Correct,4
Challenge Problem C-06,4,Incorrect,7
Challenge Problem C-07,4,Incorrect,3
Challenge Problem C-08,4,Incorrect,1
Challenge Problem C-09,4,Incorrect,7
Challenge Problem C-10,4,Incorrect,3
Challenge Problem C-11,4,Correct,4
Challenge Problem C-12,4,Incorrect,2
Raven's Problem C-01,4,Incorrect,8
Raven's Problem C-02,4,Incorrect,2
Raven's Problem C-03,4,Incorrect,3
Raven's Problem C-04,4,Incorrect,8
Raven's Problem C-05,4,Incorrect,7
Raven's Problem C-06,4,Correct,4
Raven's Problem C-07,4,Incorrect,5
Raven's Problem C-08,4,Incorrect,1
Raven's Problem C-09,4,Incorrect,7
Raven's Problem C-10,4,Incorrect,6
Raven's Problem C-11,4,Incorrect,1
Raven's Problem C-12,4,Incorrect,2
